player_id,player_name,off,def,net_rapm,oRIM_FREQ,dRIM_FREQ,oRIM_FG,dRIM_FG,oMID_FG,dMID_FG,oTHREE_FREQ,dTHREE_FREQ,oTHREE_FG,dTHREE_FG,oFT,dFT,oTOV_VALUE,dTOV_VALUE,oSC,dSC,vanilla_off,vanilla_def,vanilla_net,delta_net,possessions
1630527,Brandon Boston Jr.,-1.937,0.902,-2.839,-0.46,-0.218,0.157,-0.522,-0.22,0.061,0.044,0.002,-0.243,0.017,-0.481,-0.061,0.308,0.208,-1.042,-0.389,-2.111,0.37,-2.481,-0.358,9711
1642468,Darius Brown,-1.855,0.993,-2.848,-0.207,-0.117,-0.466,-0.45,-0.48,-0.039,0.045,0.006,-0.045,-0.031,-0.242,-0.036,-0.211,-0.167,-0.249,-0.159,-0.412,0.407,-0.819,-2.029,10
1630528,Josh Christopher,-1.237,1.612,-2.849,0.668,-0.323,-0.377,-0.781,-0.314,-0.01,-0.096,0.024,-0.365,-0.073,-0.145,-0.266,-0.39,0.009,-0.218,-0.192,-1.67,1.03,-2.7,-0.149,9117
1642348,Justin Edwards,-0.519,2.338,-2.857,0.081,-0.561,0.553,-1.873,0.264,-0.099,0.14,0.054,0.031,-0.363,-0.356,-0.156,-0.102,0.654,-1.13,0.006,-0.38,2.436,-2.816,-0.041,9231
1641721,Maxwell Lewis,-2.245,0.632,-2.877,0.156,-0.291,-0.442,-0.406,-0.565,-0.16,0.037,-0.016,-0.208,0.067,-0.58,-0.139,-0.249,0.16,-0.394,0.153,-2.119,0.057,-2.176,-0.701,1774
1629003,Shake Milton,-1.907,0.973,-2.88,0.0,-0.258,-0.741,-0.169,-0.454,0.279,-0.079,0.031,0.117,0.027,0.011,-0.799,-0.081,0.008,-0.68,-0.092,-1.714,0.235,-1.949,-0.931,24154
1630557,Corey Kispert,-0.589,2.291,-2.88,0.373,-0.275,-0.31,-0.471,-0.237,-0.155,0.158,0.126,0.086,-0.111,-0.012,-0.083,0.123,-1.072,-0.77,-0.25,-0.564,1.586,-2.15,-0.73,35954
1642846,Ace Bailey,-1.155,1.732,-2.887,-0.178,-0.05,-0.218,0.192,-0.532,-0.133,-0.17,-0.057,-0.51,-0.198,-0.038,-0.728,0.685,-0.167,-0.194,-0.591,-1.662,1.76,-3.422,0.535,8537
203493,Reggie Bullock Jr.,-1.641,1.252,-2.893,-0.11,-0.424,-0.675,-0.971,-0.272,0.124,0.127,0.13,0.025,0.109,-0.059,-0.105,0.241,-0.241,-0.918,0.126,-1.41,0.117,-1.527,-1.366,29615
1641720,Jalen Hood-Schifino,-1.241,1.658,-2.899,-0.548,-0.3,-0.314,-0.351,0.11,0.057,0.067,-0.048,-0.376,-0.086,-0.152,-0.203,-0.128,-0.174,0.1,-0.553,-1.305,1.252,-2.557,-0.342,1756
1630533,Ziaire Williams,-2.497,0.407,-2.904,0.38,-0.66,-0.444,-0.534,-0.666,0.098,0.135,0.023,-1.075,-0.163,0.449,-0.263,-0.525,1.293,-0.751,-0.201,-3.058,0.31,-3.368,0.464,24289
1642461,Spencer Jones,-1.988,0.921,-2.909,-0.585,-0.296,-0.555,-0.299,-0.084,-0.143,0.072,0.058,-0.065,0.123,-0.086,-0.685,-0.142,-0.031,-0.543,0.352,-1.79,0.089,-1.879,-1.03,6858
1626179,Terry Rozier,-2.556,0.367,-2.923,-0.111,-0.125,-1.054,-0.332,-0.545,0.138,0.221,-0.131,-0.187,-0.197,-0.582,0.045,0.705,-0.035,-1.003,0.27,-2.232,0.483,-2.715,-0.208,44085
1641774,Tristan Vukcevic,-2.29,0.635,-2.925,0.06,0.165,-0.853,-0.099,0.201,-0.127,0.033,-0.015,-0.121,0.102,0.162,0.199,-0.784,-0.271,-0.988,-0.589,-2.775,0.745,-3.52,0.595,5625
1630811,Keaton Wallace,-3.662,-0.729,-2.933,-0.896,0.343,0.131,0.435,-0.548,-0.121,0.277,-0.146,0.035,0.053,-0.394,0.168,-0.356,0.085,-1.911,-0.088,-2.993,-0.403,-2.59,-0.343,4367
