player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
1905,Andrei Kirilenko,2002,0.28,0.01,0.27,-0.47,-0.45,-0.03,0.4,0.28,0.84,-0.56,1.3,0.28,1.02,0.76,-0.19,1.58,0.21,2.34,2.55,0.0,8427,4214,4213
1749,Cuttino Mobley,2002,3.76,2.8,0.96,0.83,0.33,0.51,-1.05,0.2,0.37,-0.17,-0.44,-0.33,-0.1,-0.76,4.59,-0.24,3.54,-1.0,2.54,0.0,31959,15954,16005
907,Malik Sealy,2002,1.84,2.17,-0.33,0.1,-0.14,0.24,0.33,0.16,0.4,-0.24,-0.18,-0.35,0.17,0.27,1.94,-0.02,2.27,0.25,2.52,0.0,9370,4691,4679
397,Reggie Miller,2002,3.68,3.2,0.48,0.71,0.33,0.38,-0.81,-0.99,-0.98,-0.01,0.08,-0.21,0.28,-0.21,4.39,-0.91,3.58,-1.12,2.46,-0.0,38553,19280,19273
1885,Lamar Odom,2002,0.41,0.4,0.01,-0.57,-0.07,-0.49,0.68,2.53,2.25,0.28,-0.41,-0.29,-0.13,-0.18,-0.16,2.12,0.52,1.94,2.46,0.0,24614,12295,12319
1763,Ryan Bowen,2002,-0.12,-0.45,0.33,-0.05,-0.05,-0.01,0.64,0.42,0.7,-0.28,1.47,0.76,0.71,0.08,-0.17,1.89,0.47,1.97,2.44,0.0,11088,5520,5568
56,Gary Payton,2002,0.49,0.87,-0.38,1.06,0.66,0.4,0.52,0.72,0.38,0.34,0.03,0.21,-0.17,-0.45,1.55,0.75,2.07,0.3,2.37,0.0,38820,19458,19362
959,Steve Nash,2002,4.05,3.39,0.66,0.57,-0.04,0.61,-1.91,0.72,0.85,-0.13,-0.15,0.31,-0.46,-0.92,4.62,0.57,2.71,-0.35,2.36,0.0,28058,14036,14022
103,Todd Day,2002,3.51,2.99,0.52,-0.29,-0.09,-0.2,-0.96,-0.97,-0.76,-0.21,0.68,0.17,0.51,0.37,3.22,-0.29,2.26,0.08,2.33,-0.01,5336,2668,2668
1503,Tracy McGrady,2002,1.08,0.89,0.19,1.15,0.08,1.07,-0.06,0.32,0.79,-0.47,0.46,0.1,0.37,-0.67,2.23,0.78,2.17,0.11,2.28,0.0,33845,16991,16854
954,Kerry Kittles,2002,0.68,1.38,-0.7,-0.36,-0.23,-0.13,0.49,0.77,0.2,0.57,0.1,-0.18,0.28,0.5,0.32,0.87,0.81,1.37,2.18,0.0,19347,9734,9613
198,Danny Ferry,2002,1.69,2.05,-0.36,0.08,0.15,-0.08,0.04,1.6,1.82,-0.22,-0.59,-0.4,-0.19,-0.74,1.77,1.01,1.81,0.27,2.08,0.0,15969,8003,7966
905,Dale Davis,2002,-0.67,-0.17,-0.5,-0.43,-0.02,-0.41,2.1,2.2,1.23,0.97,-0.38,-0.07,-0.3,-0.74,-1.1,1.82,1.0,1.08,2.07,-0.01,27542,13733,13809
983,Moochie Norris,2002,1.0,0.89,0.11,0.17,0.38,-0.21,1.19,-0.04,-0.14,0.1,-0.35,-0.22,-0.13,0.09,1.17,-0.39,2.36,-0.3,2.06,0.0,15983,7970,8013
64,Sam Perkins,2002,0.01,0.15,-0.14,0.07,-0.09,0.15,0.23,1.08,0.44,0.64,-0.13,0.1,-0.23,0.79,0.08,0.95,0.31,1.74,2.05,-0.0,11243,5635,5608
2050,Morris Peterson,2002,0.97,1.34,-0.37,0.27,-0.09,0.36,1.17,-0.51,-0.21,-0.3,0.27,-0.12,0.39,-0.18,1.24,-0.24,2.41,-0.42,1.99,0.0,14996,7484,7512
